Group_Indicator,Gender,Issue_Age_Bucket,Incurred_Age_Bucket,Issue_Year_Bucket,Policy_Year,Marital_Status,Premium_Class,Underwriting_Type,Coverage_Type_Bucket,Tax_Qualification_Status,Inflation_Rider,Rate_Increase_Flag,Restoration_of_Benefits,NH_Orig_Daily_Ben_Bucket,ALF_Orig_Daily_Ben_Bucket,HHC_Orig_Daily_Ben_Bucket,NH_Ben_Period_Bucket,ALF_Ben_Period_Bucket,HHC_Ben_Period_Bucket,NH_EP_Bucket,ALF_EP_Bucket,HHC_EP_Bucket,Region,Active_Exposure,Total_Exposure,Claim_Count,Count_NH,Count_ALF,Count_HHC,Count_Unk
Individual,Female,50-54,50-54,2006-2008, 4-6 years,Married,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,  90,  90,   0,03: South,5,5,0,0,0,0,0
Individual,Female,60-64,60-64,2003-2005, 1-3 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,100-199,100-199, < 100,  3-4 year,  3-4 year,  5-9 year,  90,  90,  20,03: South,3,3,0,0,0,0,0
Individual,Female,65-69,80-84,2000-2002,10-12 years,Single,Preferred,Other,Other,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,3,3,0,0,0,0,0
Group,Female, 0-49,60-64,1991-1993,10-12 years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,Yes,100-199, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,03: South,7,7,0,0,0,0,0
Individual,Male, 0-49, 0-49,2000-2002, 1-3 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited, Unlimited, Unlimited,   0,   0,   0,04: West,3,3,0,0,0,0,0
Individual,Male,50-54,60-64,2000-2002, 7-9 years,Single,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,3.5,3.5,0,0,0,0,0
Individual,Female,60-64,65-69,2003-2005, 4-6 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,100-199,200+,200+,  3-4 year,  3-4 year,  3-4 year,  90,  90,   0,03: South,14,14,0,0,0,0,0
Individual,Male,65-69,70-74,1997-1999, 1-3 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited, Unlimited, Unlimited,   0,   0,   0,01: Mid-West,3.416666,3.416666,0,0,0,0,0
Individual,Female, 0-49,55-59,2006-2008,10-12 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,3.9999981,3.9999981,0,0,0,0,0
Group,Female,65-69,70-74,2000-2002,10-12 years,Single,Preferred,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100,100-199,100-199, Unlimited,Unknown,  3-4 year,  30,  20,  20,03: South,2,2,0,0,0,0,0
Individual,Male,60-64,70-74,2003-2005,10-12 years,Married,Standard,Unknown,Comprehensive,Tax-qualified,Inflation protection,No,Yes,100-199,Unknown,Unknown,  5-9 year,  5-9 year,   < 3 year,  90,   0,   0,04: West,3,3,0,0,0,0,0
Individual,Female,60-64,60-64,2003-2005, 1-3 years,Single,Standard,Unknown,Other,Non-tax-qualified,Inflation protection,Yes,Yes,100-199,100-199,100-199,  3-4 year,  3-4 year,  3-4 year,  90,  90,  90,04: West,3,3,0,0,0,0,0
Individual,Female,70-74,80-84,2000-2002, 7-9 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,118.83333,125.41666,3,0,1,1,0
Individual,Male, 0-49, 0-49,2003-2005, 4-6 years,Married,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,  90,  20,  20,03: South,17.916666,17.916666,0,0,0,0,0
Individual,Female,65-69,80-84,2000-2002,15+ years,Married,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100,100-199,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,3.166666,5.166666,0,0,0,0,0
Individual,Female,80-84,85-89,1994-1996, 7-9 years,Single,Standard,Full underwriting,Other,Non-tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,15.083333,19.083332,3,0,3,0,0
Group,Male,75-79,80-84,1991-1993, 7-9 years,Unknown,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,5.249999,5.249999,1,1,0,0,0
Individual,Female,50-54,55-59,2003-2005, 7-9 years,Married,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,  90,  90,   0,01: Mid-West,102,102,0,0,0,0,0
Individual,Female,55-59,60-64,2006-2008, 4-6 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes, < 100, < 100,100-199,  5-9 year,  5-9 year,  5-9 year,  90,  90,  20,03: South,3,3,0,0,0,0,0
Individual,Female,70-74,70-74,1997-1999, 1-3 years,Single,Preferred,Other,Comprehensive,Non-tax-qualified,No inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,2.5,2.5,0,0,0,0,0
Individual,Female, 0-49,50-54,1997-1999, 1-3 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,15.999998,15.999998,0,0,0,0,0
Individual,Female,60-64,70-74,1997-1999, 7-9 years,Married,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100,100-199, Unlimited,Unknown,   < 3 year,   0,   0,   0,03: South,3,3,0,0,0,0,0
Individual,Female,55-59,70-74,1991-1993,10-12 years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,4,4,0,0,0,0,0
Individual,Female,75-79,90+,2003-2005,13-15 years,Single,Preferred,Other,Comprehensive,Tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,15.083333,19.666666,1,0,1,0,0
Group,Female, 0-49,50-54,1997-1999, 4-6 years,Unknown,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,200+, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,3,3,0,0,0,0,0
Individual,Female,50-54,65-69,2000-2002,13-15 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,100-199, Unlimited, Unlimited, Unlimited,  30,  30,  30,Unknown,3,3,0,0,0,0,0
Individual,Female,60-64,60-64,2003-2005, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,100-199,100-199,100-199, Unlimited, Unlimited, Unlimited, 180, 180, 180,Unknown,13,13,0,0,0,0,0
Group,Male, 0-49,55-59,1997-1999, 7-9 years,Unknown,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,21.999998,21.999998,0,0,0,0,0
Individual,Female,70-74,75-79,2012-2014, 4-6 years,Single,Substandard,Full underwriting,Other,Tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,1.833333,1.833333,0,0,0,0,0
Individual,Male,65-69,80-84,2000-2002,10-12 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,20.5,20.5,0,0,0,0,0
Individual,Male, 0-49,50-54,2003-2005, 4-6 years,Unknown,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,20,20,0,0,0,0,0
